Variant, Problem Size, Time in s, Correct solution
Ex03, 128, 0.046349, 1
Ex03, 512, 0.194730, 1
Ex03, 1024, 0.377743, 1
Ex03, 2048, 0.756025, 1
Ex03, 256, 0.092822, 1
Ex03, 4096, 2.351444, 1
Ex03, 16384, 10.600226, 1
Ex03, 8192, 5.311793, 1
Ex03, 128, 0.046416, 1
Ex03, 256, 0.092862, 1
Ex03, 512, 0.194733, 1
Ex03, 1024, 0.377740, 1
Ex03, 2048, 0.755627, 1
Ex03, 4096, 2.351199, 1
Ex03, 16384, 10.622234, 1
Ex03, 8192, 5.315940, 1
Ex03, 16384, 10.620465, 1
