Variant, Problem Size, Time in s, Correct solution
Ex03, 256, 0.047434, 1
Ex03, 512, 0.090758, 1
Ex03, 1024, 0.177036, 1
Ex03, 2048, 0.350303, 1
Ex03, 4096, 0.703380, 1
Ex03, 8192, 1.387768, 1
Ex03, 16384, 2.782715, 1
Ex03, 128, 0.028556, 1
Ex03, 256, 0.047378, 1
Ex03, 512, 0.091171, 1
Ex03, 1024, 0.177008, 1
Ex03, 2048, 0.349166, 1
Ex03, 4096, 0.701242, 1
Ex03, 8192, 1.405550, 1
Ex03, 16384, 2.777299, 1
